cl,lcl,fw,species,longitude,is_gravid,rcl,stage,sex,id,cw,latitude
15,15,8,A. farensis,-7.99163,FALSE,11,juvenile,female,1,19,37.01025
22,17,19,A. farensis,NA,FALSE,14,juvenile,female,2,27,NA
20,15,13,A. farensis,NA,FALSE,11,juvenile,female,3,25,NA
18,11,11,A. farensis,NA,FALSE,13,juvenile,female,4,24,NA
20,14,16,A. farensis,NA,FALSE,10,juvenile,female,5,26,NA
20,13,17,A. farensis,NA,FALSE,15,juvenile,female,6,26,NA
22,15,17,A. farensis,NA,FALSE,16,juvenile,female,7,28,NA
16,11,13,A. farensis,NA,FALSE,8,juvenile, ,8,19,NA
14,8,9,A. farensis,NA,FALSE,7,juvenile,female,9,18,NA
15,6,8,A. farensis,NA,FALSE,8,juvenile,-,10,18,NA
14,6,8,A. farensis,NA,FALSE,10,juvenile,female,11,18,NA
18,6,13,A. farensis,NA,FALSE,11,juvenile,female,12,23,NA
16,8,12,A. farensis,NA,FALSE,12,juvenile,,13,20,NA
19,14,15,A. farensis,NA,FALSE,12,juvenile,female,14,24,NA
16,10,10,A. farensis,NA,FALSE,12,juvenile,female,15,20,NA
13,4,9,A. farensis,NA,FALSE,7,juvenile,female,16,16,NA
21,13,18,A. farensis,NA,FALSE,17,juvenile,female,17,26,NA
21,14,19,A. farensis,NA,FALSE,22,juvenile,female,18,26,NA
14,7,8,A. farensis,NA,FALSE,9,juvenile,female,19,17,NA
15,10,10,A. farensis,NA,FALSE,12,juvenile,female,20,19,NA
17,7,12,A. farensis,NA,FALSE,9,juvenile,female,21,21,NA
17,10,9,A. farensis,NA,TRUE,8,juvenile,female,22,21,NA
19,9,17,A. farensis,NA,FALSE,9,juvenile,female,23,24,NA
14,9,10,A. farensis,NA,FALSE,5,juvenile,female,24,18,NA
21,8,21,A. farensis,NA,FALSE,13,juvenile, ,25,26,NA
20,16,16,A. farensis,NA,FALSE,17,juvenile,male or female,26,25,NA
16,8,16,A. farensis,NA,FALSE,10,juvenile, ,27,20,NA
16,9,9,A. farensis,NA,FALSE,9,juvenile,female,28,20,NA
16,8,12,A. farensis,NA,TRUE,10,juvenile,female,29,20,NA
14,9,9,A. farensis,NA,FALSE,12,juvenile,female,30,17,NA
21,11,19,A. farensis,NA,FALSE,19,juvenile,female,31,27,NA
18,12,16,A. farensis,NA,FALSE,11,juvenile, ,32,23,NA
14,11,11,A. farensis,NA,FALSE,7,juvenile,female,33,18,NA
13,9,10,A. farensis,NA,FALSE,7,juvenile,female,34,17,NA
13,9,10,A. farensis,NA,FALSE,6,juvenile,N/R,35,16,NA
17,9,15,A. farensis,NA,FALSE,10,juvenile,female,36,21,NA
18,9,16,A. farensis,NA,FALSE,10,juvenile,female,37,24,NA
18,9,16,A. farensis,NA,FALSE,11,juvenile,female,38,22,NA
14,12,12,A. farensis,NA,FALSE,6,juvenile,female,39,17,NA
22,19,12,A. farensis,NA,FALSE,10,juvenile,female,40,28,NA
16,8,10,A. farensis,NA,FALSE,13,juvenile,female,41,21,NA
19,14,20,A. farensis,NA,FALSE,13,juvenile,female,42,24,NA
15,7,12,A. farensis,NA,FALSE,6,juvenile,female,43,18,NA
14,5,12,A. farensis,NA,FALSE,9,juvenile,female,44,17,NA
17,11,9,A. farensis,NA,FALSE,10,juvenile,female,45,21,NA
19,9,19,A. farensis,NA,FALSE,13,juvenile,-,46,24,NA
15,11,9,A. farensis,NA,FALSE,11,juvenile,female,47,19,NA
18,10,14,A. farensis,NA,FALSE,11,juvenile,female,48,22,NA
21,12,17,A. farensis,NA,FALSE,12,juvenile,female,49,27,NA
18,10,13,A. farensis,NA,FALSE,9,juvenile,female,50,23,NA
16,12,9,A. farensis,NA,FALSE,10,juvenile,female,51,20,NA
20,12,19,A. farensis,NA,FALSE,15,pre_puberty,female,52,25,NA
31,18,26,A. farensis,NA,FALSE,17,pre_puberty,female,53,40,NA
31,18,20,A. farensis,NA,FALSE,15,pre_puberty,female,54,39,NA
30,26,20,A. farensis,NA,FALSE,23,pre_puberty,?,55,38,NA
30,17,16,A. farensis,NA,FALSE,14,pre_puberty,female,56,35,NA
22,14,11,A. farensis,NA,FALSE,20,pre_puberty,female,57,27,NA
24,11,17,A. farensis,NA,FALSE,14,pre_puberty,female,58,30,NA
19,11,16,A. farensis,NA,FALSE,13,pre_puberty,female,59,24,NA
19,10,10,A. farensis,NA,FALSE,11,pre_puberty,female,60,24,NA
21,12,12,A. farensis,NA,FALSE,13,pre_puberty,-,61,27,NA
26,18,25,A. farensis,NA,FALSE,15,pre_puberty,female,62,34,NA
26,15,22,A. farensis,NA,FALSE,14,pre_puberty,,63,33,NA
20,11,11,A. farensis,NA,FALSE,14,pre_puberty,female,64,25,NA
27,20,18,A. farensis,NA,FALSE,18,pre_puberty,female,65,34,NA
20,8,18,A. farensis,NA,FALSE,11,pre_puberty,female,66,26,NA
28,14,16,A. farensis,NA,FALSE,12,pre_puberty,female,67,37,NA
27,15,18,A. farensis,NA,FALSE,14,pre_puberty,female,68,35,NA
24,16,19,A. farensis,NA,FALSE,17,pre_puberty,female,69,30,NA
28,15,19,A. farensis,NA,FALSE,20,pre_puberty,female,70,36,NA
29,16,26,A. farensis,NA,FALSE,21,pre_puberty,female,71,37,NA
23,14,24,A. farensis,NA,FALSE,17,pre_puberty,female,72,30,NA
24,17,23,A. farensis,NA,FALSE,15,pre_puberty,female,73,30,NA
19,15,17,A. farensis,NA,FALSE,16,pre_puberty,female,74,25,NA
27,17,21,A. farensis,NA,TRUE,14,pre_puberty,female,75,35,NA
19,11,10,A. farensis,NA,FALSE,12,pre_puberty,female,76,24,NA
26,16,17,A. farensis,NA,FALSE,14,pre_puberty,N/R,77,33,NA
20,15,15,A. farensis,NA,FALSE,12,pre_puberty,female,78,25,NA
29,20,16,A. farensis,NA,FALSE,13,pre_puberty,female,79,38,NA
22,19,15,A. farensis,NA,FALSE,21,pre_puberty,female,80,28,NA
25,16,25,A. farensis,NA,TRUE,14,pre_puberty,female,81,32,NA
